Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2004-10-29,198.87,199.95,190.6,190.64,42282600.0,0.0,1.0,99.74289676708302,100.28456885693292,95.59509289388055,95.61515482313425,42282600.0
2004-11-01,193.5,197.67,191.27,196.03,24425300.0,0.0,1.0,97.0495827647738,99.14103888947201,95.93113020888003,98.31849979007033,24425300.0
2004-11-02,198.73,199.25,193.34,194.87,22669900.0,0.0,1.0,99.67268001469508,99.93348509499317,96.969335047759,97.73670384171302,22669900.0
2004-11-03,198.19,201.6,190.75,191.67,27749600.0,0.0,1.0,99.40184396977013,101.11212343864806,95.67032512858192,96.13174950141702,27749600.0
2004-11-04,188.25,190.4,183.35,184.7,28790300.0,0.0,1.0,94.41645455022568,95.49478324761205,91.95886821664742,92.63595832895979,28790300.0
2004-11-05,182.0,182.3,168.55,169.35,39626500.0,0.0,1.0,91.28177810433505,91.43224257373781,84.53595439277842,84.93719297785242,39626500.0
2004-11-08,170.86,175.44,169.4,172.55,22361200.0,0.0,1.0,85.6945308071796,87.99162170672824,84.96227038941954,86.54214731814842,22361200.0
2004-11-09,174.1,175.2,165.27,168.7,22106200.0,0.0,1.0,87.3195470767293,87.87125013120604,82.89087619397502,84.61118662747978,22106200.0
2004-11-10,170.67,172.52,166.33,167.86,21266700.0,0.0,1.0,85.59923664322451,86.52710087120815,83.42251731919808,84.1898861131521,21266700.0
2004-11-11,169.32,183.75,167.57,183.02,29941000.0,0.0,1.0,84.92214653091214,92.15948750918443,84.04443712606276,91.79335730030441,29941000.0
2004-11-12,185.23,189.8,177.4,182.0,33458700.0,0.0,1.0,92.90177889157131,95.19385430880655,88.97465624015955,91.28177810433505,33458700.0
2004-11-15,180.45,188.32,178.75,184.87,23779100.0,0.0,1.0,90.50437834575416,94.45156292641964,89.65174635247192,92.72122152828803,23779100.0
2004-11-16,174.39,179.47,170.83,172.545,41792900.0,0.0,1.0,87.46499606381862,90.01286107903852,85.67948436023933,86.5396395769917,41792900.0
